"","modl","CN_coupled","Veg_Demo","R_cveg_median","R_cveg_IQR","R_cveg_ag_median","R_cveg_ag_IQR","R_npp_median","R_npp_IQR","R_gpp_median","R_gpp_IQR","R_cleaf_median","R_cleaf_IQR","R_cveg_star_median","R_cveg_star_IQR","R_croot_median","R_croot_IQR","l_npp_gpp_median","l_npp_gpp_IQR","l_croot_cveg_median","l_croot_cveg_IQR","l_croot_cveg_star_median","l_croot_cveg_star_IQR","l_cveg_star_npp_median","l_cveg_star_npp_IQR","l_cleaf_cveg_median","l_cleaf_cveg_IQR"
"1","ALL",NA,NA,0.221318757724266,0.253087453474104,0.192046081146589,0.27539628816051,0.239609517796251,0.266594245360798,0.234582295220789,0.242596368010441,0.168728129577834,0.242701446200743,0.250156037173455,0.275746635635499,0.20831741746567,0.240359209995273,1.02288717190598,0.212600113743957,1.00459484842794,0.316336764975012,0.906589126532576,0.376255425705427,0.996292921145366,0.729346111902916,0.878648998003206,0.811967080059815
"2","C only models",NA,NA,0.204468315691631,0.2427471351139,0.176611169724582,0.201567969907452,0.223317235625414,0.285469288801529,0.205467511956591,0.256907490335185,0.1424981356583,0.168408037044454,0.233430273385044,0.275670987248573,0.205703275560525,0.218128251416918,1.04253162206647,0.169907059010408,1.03640461542098,0.472655000664492,0.972386313299813,0.467946178012572,0.948648964718713,0.688984149836246,0.806499121663318,0.632601279622447
"3","CN coupled models",NA,NA,0.230395069938051,0.258707456852876,0.21435134580912,0.3425859515766,0.246346175746328,0.253423311391493,0.249152270633812,0.228513379504087,0.206725016256261,0.304537215601702,0.259147403986005,0.276660507177117,0.209889829825105,0.252671355947947,1.00011854029373,0.253118586946995,1,0.225922719639542,0.879233909021324,0.329157245222211,1.03186872183296,0.738845984821342,0.918762661135806,0.921683957797752
"4","Veg Demo",NA,NA,0.213736545771803,0.251119740208255,0.311444076570055,0.408278490968641,0.176248701729578,0.225011186575736,0.193040686750969,0.226740547397707,0.22065000666317,0.260618730137079,0.230135301077061,0.26830091832428,0.211936751972218,0.235708933957738,1.01854985673278,0.284015291432112,1,0.0415892418712569,0.881842277827742,0.228242109339551,1.29193801760727,0.824439536912815,0.727689418248196,0.54120048785871
"5","not Veg Demo",NA,NA,0.222964131798157,0.255043178928779,0.177357384370591,0.233672640719085,0.252861122770697,0.268373783818503,0.243217638035882,0.242134441542689,0.160169610382111,0.234388957883065,0.254461929307077,0.278366485272627,0.207349297514501,0.249096182926838,1.02352983918046,0.200443938125762,1.01166168324192,0.424520904900766,0.914647893818549,0.433657890937598,0.949692751843158,0.649164331296616,0.93605862701852,0.86420191781124
"6","CLASSIC","No","No",0.14096851471963,0.350508706024017,0.158926942007953,0.370991307513229,0.118608881329624,0.286932355415287,0.110855396414662,0.237355162943019,0.0957620044709272,0.245550890812074,0.143030450951295,0.382598989002096,0.127603251754143,0.339217398187679,1.08912828892269,0.269260885987939,0.967152780584965,0.365066078980124,0.87749491482255,0.459270484642835,1.112082495185,0.791512912713902,0.623364687394901,0.461716127350073
"7","IBIS","No","No",0.118634062331817,0.112425419100261,0.120870778542816,0.115984154245296,0.16928706686684,0.158311190572305,0.169208164218046,0.158271813048342,0.162196402580512,0.143484810066049,0.141826437723117,0.131271882615023,0.161131235003531,0.149635217925002,1.00046357260985,0.0854714165633357,1.16333729467015,0.800098999620764,1.01717761866266,0.580183615834012,0.928106622680982,0.456253257756473,1.28933837030322,0.818406782485662
"8","LPJ","No","No",0.351985881882144,0.422577907145772,NA,NA,0.226548982076559,0.230751852268316,0.184839851322054,0.132761634703417,NA,NA,0.408074310197072,0.474284630624021,NA,NA,1.21909548894154,0.351213700835611,NA,NA,NA,NA,1.57088333488194,2.26915875423637,NA,NA
"9","ORCHIDEE","Yes","No",0.288227896874309,0.292024263301695,0.270478745853978,0.302834053624584,0.286262869645901,0.361539849707456,0.299974167463216,0.386473367424307,0.346044746283509,0.384627288389614,0.326155672719777,0.322929921767616,0.278380392937996,0.312167326402585,0.963994052908259,0.18033203878899,0.97471404694388,0.232294485062079,0.834687105933243,0.236160634321277,1.03770993019984,0.585865473764906,1.22551498102545,0.787418292419511
"10","VISIT","No","No",0.18692372334192,0.257432391497974,NA,NA,0.19325481516933,0.276741525961292,0.182518337887614,0.249443851702585,NA,NA,0.209678695677273,0.304950172476329,NA,NA,1.05100078920005,0.113523695177568,NA,NA,NA,NA,0.963098338211941,0.574584894436354,NA,NA
